Item,Item Description,MGBC,SSCC,Local Pallet ID,BBD,Date and Time,Transaction Type,Quantity,UOM
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633425,2272271,2020-03-29,03/04/2019 17:20,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633432,2272272,2020-03-29,03/04/2019 17:58,Goods Receipt Finished Goods,63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A2NLD06,387199001527779122,LE00498585,2020-02-23,03/04/2019 18:10,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633449,2272273,2020-03-29,03/04/2019 18:49,Goods Receipt Finished Goods,63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180491,LE00498545,2020-03-08,03/04/2019 18:49,Used for production,-63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528058172,LE00498750,2020-03-15,03/04/2019 19:20,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633456,2272274,2020-03-29,03/04/2019 20:34,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633463,2272275,2020-03-29,03/04/2019 21:06,Goods Receipt Finished Goods,63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850470,LE00498584,2020-02-23,03/04/2019 21:15,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776145,LE00498587,2020-02-23,03/04/2019 21:33,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633470,2272276,2020-03-29,03/04/2019 21:56,Goods Receipt Finished Goods,63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180323,LE00498639,2020-03-08,03/04/2019 22:45,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633487,2272277,2020-03-29,03/04/2019 22:59,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633494,2272278,2020-03-29,03/04/2019 23:37,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057984,LE00498752,2020-03-15,04/04/2019 06:20,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771874,LE00498590,2020-02-16,04/04/2019 07:08,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633500,2272279,2020-03-29,04/04/2019 07:35,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633517,2272280,2020-03-29,04/04/2019 07:35,Goods Receipt Finished Goods,63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527851156,LE00498599,2020-02-23,04/04/2019 07:49,Used for production,-63,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179211,LE00498646,2020-03-08,04/04/2019 08:41,Used for production,-63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633524,2272281,2020-03-29,04/04/2019 09:33,Goods Receipt Finished Goods,63,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633531,2272282,2020-03-29,04/04/2019 09:34,Goods Receipt Finished Goods,63,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,LE00498754,2020-03-15,04/04/2019 09:37,Used for production,-63,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771874,LE00498590,2020-02-16,04/04/2019 10:00,Line Clearance,4,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,LE00498754,2020-03-15,04/04/2019 10:00,Line Clearance,48,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527851156,LE00498599,2020-02-23,04/04/2019 10:01,Line Clearance,48,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179211,LE00498646,2020-03-08,04/04/2019 10:01,Line Clearance,30,CASE
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633548,2272283,2020-03-29,04/04/2019 10:52,Goods Receipt Finished Goods,63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527852481,LE00498166,2020-02-23,04/04/2019 23:30,Used for production,-63,CASE
NR260,Bulk: BOUNTY miniatures bulk 10 kg,,,,,05/04/2019 07:07,Waste for Production order,-16.7514,CASE
NR371,Bulk: MARS miniatures bulk 10 kg,,,,,05/04/2019 07:07,Waste for Production order,-20.57,CASE
NR376,Bulk: MILKY WAY miniatures bulk 8kg,,,,,05/04/2019 07:07,Waste for Production order,-8.7966,CASE
NR278,Bulk: SNICKERS miniatures bulk 10kg,,,,,05/04/2019 07:07,Waste for Production order,-39.5394,CASE
