Item,ItemDescription,MGBC,SSCC,LocalReferenceNumber,LocalPalletID,BBD,PalletizationDateAndTime,CoPackingConversionDateAndTime,Location,TransactionDateAndTime,TransactionType,TransactionQuantity,TransactionUOM,StockType,OnHandQuantitybyStockType,ShipTo,CNN,ParentSSCC,ConsumedQuantity,MachineLine
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633395,59285,2272268,2020-03-29,,,NL08,03/04/2019 14:35,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633401,59285,2272269,2020-03-29,,,NL08,03/04/2019 15:51,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527773625,59285,LE00498469,2020-02-16,,,NL08,03/04/2019 15:57,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911E2NLD06,387199001528190278,59285,LE00498804,2020-03-08,,,NL08,03/04/2019 16:09,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057380,59285,LE00498758,2020-03-15,,,NL08,03/04/2019 16:09,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527849900,59285,LE00498581,2020-02-23,,,NL08,03/04/2019 16:20,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633418,59285,2272270,2020-03-29,,,NL08,03/04/2019 16:27,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633425,59285,2272271,2020-03-29,,,NL08,03/04/2019 17:20,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633432,59285,2272272,2020-03-29,,,NL08,03/04/2019 17:58,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,906A2NLD06,387199001527779122,59285,LE00498585,2020-02-23,,,NL08,03/04/2019 18:10,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633449,59285,2272273,2020-03-29,,,NL08,03/04/2019 18:49,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180491,59285,LE00498545,2020-03-08,,,NL08,03/04/2019 18:49,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528058172,59285,LE00498750,2020-03-15,,,NL08,03/04/2019 19:20,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633456,59285,2272274,2020-03-29,,,NL08,03/04/2019 20:34,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633463,59285,2272275,2020-03-29,,,NL08,03/04/2019 21:06,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G2NLD12,387199001527850470,59285,LE00498584,2020-02-23,,,NL08,03/04/2019 21:15,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,906A1NLD06,387199001527776145,59285,LE00498587,2020-02-23,,,NL08,03/04/2019 21:33,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633470,59285,2272276,2020-03-29,,,NL08,03/04/2019 21:56,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528180323,59285,LE00498639,2020-03-08,,,NL08,03/04/2019 22:45,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633487,59285,2272277,2020-03-29,,,NL08,03/04/2019 22:59,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633494,59285,2272278,2020-03-29,,,NL08,03/04/2019 23:37,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057984,59285,LE00498752,2020-03-15,,,NL08,04/04/2019 06:20,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771874,59285,LE00498590,2020-02-16,,,NL08,04/04/2019 07:08,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633500,59285,2272279,2020-03-29,,,NL08,04/04/2019 07:35,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633517,59285,2272280,2020-03-29,,,NL08,04/04/2019 07:35,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527851156,59285,LE00498599,2020-02-23,,,NL08,04/04/2019 07:49,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179211,59285,LE00498646,2020-03-08,,,NL08,04/04/2019 08:41,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633524,59285,2272281,2020-03-29,,,NL08,04/04/2019 09:33,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633531,59285,2272282,2020-03-29,,,NL08,04/04/2019 09:34,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,59285,LE00498754,2020-03-15,,,NL08,04/04/2019 09:37,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR371,Bulk: MARS miniatures bulk 10 kg,905G3NLD06,387199001527771874,59285,LE00498590,2020-02-16,,,NL08,04/04/2019 10:00,Line Clearance,4,,Free,,,,,,2.01 TWRAP1
NR376,Bulk: MILKY WAY miniatures bulk 8kg,909D3NLD06,387199001528057762,59285,LE00498754,2020-03-15,,,NL08,04/04/2019 10:00,Line Clearance,48,,Free,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527851156,59285,LE00498599,2020-02-23,,,NL08,04/04/2019 10:01,Line Clearance,48,,Free,,,,,,2.01 TWRAP1
NR278,Bulk: SNICKERS miniatures bulk 10kg,911D3NLD06,387199001528179211,59285,LE00498646,2020-03-08,,,NL08,04/04/2019 10:01,Line Clearance,30,,Free,,,,,,2.01 TWRAP1
AKA49,Mixed miniatures bag 3kg,914B91HC01,387199003513633548,59285,2272283,2020-03-29,,,NL08,04/04/2019 10:52,Goods Receipt Finished Goods,63,,Free,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,906G3NLD12,387199001527852481,59285,LE00498166,2020-02-23,,,NL08,04/04/2019 23:30,Used for production,-63,,Used for production,,,,,,2.01 TWRAP1
NR260,Bulk: BOUNTY miniatures bulk 10 kg,,,59285,,,,,NL08,05/04/2019 07:07,Waste for Production order,-16.7514,,Free,,,,,,2.01 TWRAP1
